,compare,frequency,seed,human_seed,updates,utility,position
126,s_s,10,1111,100,99,0.0259,8.357872261000008
127,s_s,20,1111,100,49,0.0457000000000002,15.913997756000017
128,s_s,25,1111,100,39,0.0512000000000003,20.049133197999986
129,s_s,30,1111,100,33,0.0520000000000003,24.052204263999982
130,s_s,35,1111,100,28,0.0655000000000004,25.65424274399996
131,s_s,40,1111,100,24,0.0718000000000002,28.499407814
132,s_s,45,1111,100,22,0.0823999999999999,32.69757977099999
133,s_s,50,1111,100,19,0.0708000000000003,33.92714918500001
134,s_s,55,1111,100,18,0.0757000000000001,35.937426913000024
135,s_s,60,1111,100,16,0.0722000000000002,38.96565548699999
136,s_s,65,1111,100,15,0.0754000000000001,43.01038387499995
137,s_s,70,1111,100,14,0.0916999999999998,37.46037528
138,s_s,75,1111,100,13,0.0941999999999995,43.97884641800003
139,s_s,80,1111,100,12,0.0986999999999998,44.28099632399995
140,s_s,90,1111,100,11,0.0993999999999999,47.85689479999995
141,s_s,100,1111,100,9,0.0937,49.55817133699995
142,s_s,5,2222,100,199,0.0107999999999999,3.8361818200000015
143,s_s,10,2222,100,99,0.0274,7.855227136000013
144,s_s,20,2222,100,49,0.0431000000000002,15.214760071999992
145,s_s,25,2222,100,39,0.0486000000000002,18.231384755
146,s_s,30,2222,100,33,0.0488000000000002,21.41823605
147,s_s,35,2222,100,28,0.0635000000000004,24.248512916
148,s_s,40,2222,100,24,0.0633000000000004,26.863428038000027
149,s_s,45,2222,100,22,0.0604000000000004,28.812747764000008
150,s_s,50,2222,100,19,0.0727000000000001,32.153581834000015
151,s_s,55,2222,100,18,0.0762,33.801193458999975
152,s_s,60,2222,100,16,0.0711000000000002,36.57901789
153,s_s,65,2222,100,15,0.0751000000000001,39.147025187
154,s_s,70,2222,100,14,0.0712000000000002,36.131766800999976
155,s_s,75,2222,100,13,0.0770000000000001,39.724264045000055
156,s_s,80,2222,100,12,0.0867999999999997,39.527458613
157,s_s,90,2222,100,11,0.0891999999999999,41.08720496400004
158,s_s,100,2222,100,9,0.0875,47.16304787999999
159,s_s,5,4444,100,199,0.0111999999999999,3.747545621000001
160,s_s,10,4444,100,99,0.0265,7.960946625000002
161,s_s,20,4444,100,49,0.0414000000000002,14.85752469700001
162,s_s,25,4444,100,39,0.0477000000000003,18.168115233999973
163,s_s,30,4444,100,33,0.0536000000000004,21.89715981000001
164,s_s,35,4444,100,28,0.0669000000000003,24.22890578700002
165,s_s,40,4444,100,24,0.0592000000000003,25.534524239000007
166,s_s,45,4444,100,22,0.0659000000000004,29.55186935300004
167,s_s,50,4444,100,19,0.0674000000000003,32.308901122
168,s_s,55,4444,100,18,0.0600000000000004,32.341069763999975
169,s_s,60,4444,100,16,0.0713000000000003,35.579507202999984
170,s_s,65,4444,100,15,0.075,37.41252697899996
171,s_s,70,4444,100,14,0.0669000000000003,35.993033628
172,s_s,75,4444,100,13,0.0866999999999996,39.12698126500002
173,s_s,80,4444,100,12,0.0849999999999998,39.262636338999954
174,s_s,90,4444,100,11,0.0892999999999995,40.73791020899999
175,s_s,100,4444,100,9,0.079,45.309807414000005
176,s_s,5,5555,100,199,0.0134999999999999,4.144526550999999
177,s_s,10,5555,100,99,0.0304000000000001,8.794501453000008
178,s_s,20,5555,100,49,0.0447000000000002,17.042528777999994
179,s_s,25,5555,100,39,0.0556000000000003,20.660657261
180,s_s,30,5555,100,33,0.0497000000000002,24.590638369000008
181,s_s,35,5555,100,28,0.0792000000000001,28.156824778
182,s_s,40,5555,100,24,0.0742000000000003,30.744893297999997
183,s_s,45,5555,100,22,0.0685000000000002,33.97731510999997
184,s_s,50,5555,100,19,0.0722000000000001,36.48174643799999
185,s_s,55,5555,100,18,0.0852999999999999,39.58461335099996
186,s_s,60,5555,100,16,0.0815,41.20143370800007
187,s_s,65,5555,100,15,0.0914999999999996,45.154487534000005
188,s_s,70,5555,100,14,0.0933999999999997,41.52067902200002
189,s_s,75,5555,100,13,0.0941999999999996,47.602629147999984
190,s_s,80,5555,100,12,0.0965999999999998,47.39676794799999
191,s_s,90,5555,100,11,0.1061999999999996,48.957046751
192,s_s,100,5555,100,9,0.0881999999999998,54.417451642000046
